,hostname,glon,glat,sy_dist,st_spectype,sy_vmag,pl_orbsmax,pl_orbincl,st_teff,pl_eqt,pl_angsep,contrast,X,Y,Z
30,47 UMa,175.78305,63.3677,13.7967,G,5.03352,5.623838707607734e-05,0.0,5872.0,0.0,841.0,0.0,-6.167808331672376,0.4547700540376388,12.332893231991568
31,51 Eri,198.61297,-30.65764,29.7575,F,5.21149,6.399540598312249e-05,133.0,7295.0,700.0,444.0,8.477952424868787e-05,-24.25939140374259,-8.170301211100625,-15.173559671016813
32,51 Peg,90.06374,-34.7275,15.4614,G,5.45309,2.5549681025079963e-07,80.0,5758.0,0.0,3.41,0.0,-0.014136492178456335,12.707263959998642,-8.8079584905078
33,55 Cnc,196.79526,37.69663,12.5855,K,5.95084,5.497787150368251e-07,89.73,5172.0,700.0,9.01,0.0003355506583385559,-9.533605159893405,-2.8775045254637326,7.6957878486344455
34,55 Cnc,196.79526,37.69663,12.5855,G,5.95084,1.150462866651134e-06,89.73,5172.0,0.0,18.9,0.0,-9.533605159893405,-2.8775045254637326,7.6957878486344455
35,55 Cnc,196.79526,37.69663,12.5855,G,5.95084,2.8880351018292474e-05,89.73,5172.0,0.0,473.0,0.0,-9.533605159893405,-2.8775045254637326,7.6957878486344455
36,55 Cnc,196.79526,37.69663,12.5855,G,5.95084,7.48552324529857e-08,83.59,5172.0,1958.0,1.23,0.020540768359831478,-9.533605159893405,-2.8775045254637326,7.6957878486344455
37,55 Cnc,196.79526,37.69663,12.5855,G,5.95084,3.736943858469001e-06,89.73,5172.0,0.0,61.2,0.0,-9.533605159893405,-2.8775045254637326,7.6957878486344455
38,6 Lyn,156.97286,20.18918,54.6599,K,5.87307,9.832021464679728e-06,0.0,4941.0,0.0,37.1,0.0,-47.213777692659406,20.067458832560327,18.864277351693968
39,61 Vir,311.85177,44.08875,8.50332,G,4.6955,2.433813163453585e-07,0.0,5577.0,0.0,5.9,0.0,4.0750390238721295,-4.54940358360867,5.916370087288987
40,61 Vir,311.85177,44.08875,8.50332,G,4.6955,1.0544697576764502e-06,0.0,5577.0,0.0,25.6,0.0,4.0750390238721295,-4.54940358360867,5.916370087288987
41,61 Vir,311.85177,44.08875,8.50332,G,4.6955,2.307713124845932e-06,0.0,5577.0,0.0,56.0,0.0,4.0750390238721295,-4.54940358360867,5.916370087288987
42,7 CMa,228.68876,-11.79597,19.8101,K,3.95,8.523024524115858e-06,90.0,4826.0,0.0,88.7,0.0,-12.801442234622785,-14.565812025654232,-4.049723293871137
43,7 CMa,228.68876,-11.79597,19.8101,K,3.95,1.043803856679263e-05,90.0,4826.0,0.0,109.0,0.0,-12.801442234622785,-14.565812025654232,-4.049723293871137
44,70 Vir,337.65749,74.0991,17.9011,G,4.96808,2.3319538089304483e-06,0.0,5495.0,0.0,26.9,0.0,4.536255204074794,-1.8643867900387319,17.216150319703686
45,75 Cet,169.94418,-54.44177,82.9613,G,5.3532,9.269637593918953e-06,0.0,4809.0,0.0,23.0,0.0,-47.5033620485157,8.423851320255999,-67.49108549069173
46,75 Cet,169.94418,-54.44177,82.9613,G,5.3532,1.9048329553612746e-05,0.0,4809.0,0.0,47.4,0.0,-47.5033620485157,8.423851320255999,-67.49108549069173
47,8 UMi,112.79492,39.66099,162.552,K,6.83295,2.375587040282577e-06,0.0,4847.0,0.0,3.01,0.0,-48.482736826228084,115.364504594102,103.74780968095725
48,81 Cet,174.48697,-55.24995,101.26,G,5.64307,1.0200479862764373e-05,0.0,4734.0,0.0,20.8,0.0,-57.450963259999455,5.545085286556874,-83.19991856764648
49,91 Aqr,67.07416,-61.11327,44.0304,K,4.23946,3.393695771832253e-06,0.0,4665.0,0.0,15.9,0.0,8.285575542753193,19.59005236386246,-38.5519806296182
50,AB Aur,172.49916,-7.98082,162.127,G,7.076,0.00045524004710721227,42.6,9770.0,0.0,579.0,0.0,-159.18284309301708,20.959193062519503,-22.509971567994945
51,AB Pic,266.94347,-26.93081,50.0475,K,9.13,0.0012605155723948369,0.0,5285.0,0.0,5200.0,0.0,-2.3791954251263596,-44.55657839086962,-22.667223197324994
52,AF Lep,214.37435,-24.04116,26.8564,F,6.332,4.072434926198704e-05,50.0,6130.0,1400.0,313.0,0.0027206347734550014,-20.243503254921198,-13.84770866515929,-10.941104224568345
53,AU Mic,12.65304,-36.80401,9.7221,M,8.81,3.127048246902576e-07,89.5,3665.0,600.0,6.63,0.000718305324393412,7.595334470750373,1.7051424099032493,-5.824312152467489
54,AU Mic,12.65304,-36.80401,9.7221,M,8.81,5.337798635410444e-07,89.227,3665.0,459.0,11.3,0.00024601116988138904,7.595334470750373,1.7051424099032493,-5.824312152467489
55,AU Mic,12.65304,-36.80401,9.7221,M,8.81,0.0,89.318,3678.0,0.0,0.0,0.0,7.595334470750373,1.7051424099032493,-5.824312152467489
56,BD+03 2562,269.32522,61.57342,1070.63,G,9.577,6.302577861974185e-06,0.0,4095.0,0.0,1.21,0.0,-6.002128655791932,-509.6190467090892,941.5418198799873
57,BD+14 4559,64.41837,-22.63172,49.352,K,9.78,3.781546717184511e-06,0.0,4864.0,0.0,15.8,0.0,19.669096023245018,41.08637064945682,-18.990963969314983
58,BD+15 2375,249.00212,70.27244,768.045,G,10.41,2.792526806536254e-06,0.0,4649.0,0.0,0.75,0.0,-92.89869304644841,-242.03613679101173,722.967124662349
59,BD+15 2940,28.10432,44.78011,426.42,K,9.01,2.613145744310835e-06,0.0,4796.0,0.0,1.26,0.0,266.9909178353494,142.58574454059877,300.3650639592442
60,BD+20 2457,216.04472,53.95226,1539.71,K,9.743,7.0297983845096674e-06,0.0,4137.0,0.0,0.942,0.0,-732.599143017506,-533.1385647706144,1244.8970441383278
61,BD+20 2457,216.04472,53.95226,1539.71,K,9.743,9.74475500197547e-06,0.0,4137.0,0.0,1.31,0.0,-732.599143017506,-533.1385647706144,1244.8970441383278
62,BD+20 274,138.9742,-40.23345,1322.51,K,9.367,6.302577861974185e-06,0.0,4296.0,0.0,0.983,0.0,-761.6786062598495,662.7195028590162,-854.2138265073633
63,BD+20 594,166.7966,-28.05348,179.461,G,10.849,1.1684009728736758e-06,89.55,5766.0,546.0,1.34,8.040295652039113e-05,-154.18933543783692,36.17443539812218,-84.39970131383939
64,BD+45 564,137.23205,-14.70463,53.622,K,9.67,4.023953558029672e-06,2.579,5004.0,0.0,15.5,0.0,-38.075142666387926,35.218427508923895,-13.611199753617568
65,BD+48 738,140.80848,-9.3787,871.493,K,9.139,4.848136816903219e-06,0.0,4414.0,0.0,1.15,0.0,-666.4114746311762,543.3477178235424,-142.01779136731213
66,BD+48 740,141.10904,-9.96534,666.589,K,8.69,8.241832588735472e-06,0.0,4534.0,0.0,2.55,0.0,-511.0065081959808,412.19716978598757,-115.35482964649914
67,BD+49 828,143.61792,-7.80173,442.042,K,9.381,2.036217463099352e-05,0.0,4943.0,0.0,9.5,0.0,-352.5847825830915,259.7777435212864,-60.00520665594579
68,BD+55 362,129.03163,-5.64657,52.5697,K,9.38,3.781546717184511e-06,0.601,5012.0,0.0,14.8,0.0,-32.945095559060455,40.637913798198994,-5.172426782905979
69,BD+60 1417,124.74559,57.0861,44.9543,K,9.374,0.00805760338969315,0.0,4993.0,1303.0,37000.0,0.004638006987828208,-13.921870554825507,20.071591978955404,37.738598333470414
70,BD+63 1405,93.08126,29.1513,38.0473,K,8.96,9.98716184282063e-06,5.974,5000.0,0.0,54.1,0.0,-1.7860835756348703,33.18005547787412,18.533506447406083
71,BD-06 1339,211.65797,-15.71602,20.2695,K,9.7,2.0750025576345777e-07,0.0,4324.0,0.0,2.11,0.0,-16.60832690278844,-10.240688903527184,-5.4903914724989225
72,BD-06 1339,211.65797,-15.71602,20.2695,K,9.7,2.1089395153529003e-06,0.0,4324.0,0.0,21.5,0.0,-16.60832690278844,-10.240688903527184,-5.4903914724989225
73,BD-08 2823,248.49513,34.75486,41.3342,K,9.86,2.9088820901419314e-07,0.0,4816.0,0.0,1.45,0.0,-12.449111372194244,-31.59603448932347,23.563240868611135
74,BD-08 2823,248.49513,34.75486,41.3342,K,9.86,3.296733035494189e-06,0.0,4746.0,0.0,16.5,0.0,-12.449111372194244,-31.59603448932347,23.563240868611135
75,BD-10 3166,263.28467,43.23793,84.4069,K,10.013,1.9392547267612875e-07,0.0,5393.0,0.0,0.474,0.0,-7.190624069224143,-61.0698474514505,57.82121950773486
76,BD-11 4672,20.54287,-1.35959,27.1665,K,10.03,1.1441602887891595e-05,0.0,4550.0,0.0,86.9,0.0,25.431817621599915,9.530261727252569,-0.6445821295574422
77,BD-11 4672,20.54287,-1.35959,27.1665,K,10.03,1.4544410450709656e-06,0.0,4550.0,0.0,11.0,0.0,25.431817621599915,9.530261727252569,-0.6445821295574422
78,BD-13 2130,230.52055,3.53127,925.214,G,10.038,8.047907116059344e-06,0.0,4545.0,0.0,1.79,0.0,-587.1354830066338,-712.7730049185354,56.986962105102
79,BD-14 3065 A,256.57364,32.77156,589.423,G,11.1,3.1803777518885117e-07,80.78,6935.0,2001.0,0.111,0.006931105236843791,-115.0778434279126,-482.0623396522343,319.04931212901033
80,BD-17 63,95.83026,-77.87825,34.4603,K,9.62,6.496503334650314e-06,80.0,4714.0,0.0,38.9,0.0,-0.735076671485915,7.198876870044705,-33.69195913251369
81,BD-210397,199.69949,-70.45622,23.7324,K,9.84,1.2750599828455465e-05,0.0,4051.0,0.0,111.0,0.0,-7.474480395913249,-2.6761763784414656,-22.36508512307924
82,BD-210397,199.69949,-70.45622,23.7324,K,9.84,2.860400721972899e-05,33.0,4051.0,0.0,249.0,0.0,-7.474480395913249,-2.6761763784414656,-22.36508512307924
83,CD Cet,175.42689,-43.1678,8.60715,M,13.95,8.969053111270954e-08,87.48,3130.0,464.0,2.15,0.00048294155043248624,-6.257667123441299,0.5005241996280206,-5.8884725371091475
84,CFBDSIR J145829+101343,9.59427,55.65506,23.1,G,0.0,1.260515572394837e-05,0.0,580.5,370.0,113.0,0.16504333849926667,12.850127222369002,2.172114485210773,19.072654483109286
85,CFHTWIR-Oph 98 A,353.60499,16.96444,,M,0.0,0.0009696273633806437,0.0,2320.0,1800.0,0.0,0.3623581893193794,,,
86,CHXR 73,297.2776,-15.92181,190.374,M,0.0,0.0010181087315496759,0.0,3099.0,0.0,1100.0,0.0,83.90167629200688,-162.71256962339518,-52.22440308843241
87,CI Tau,175.46435,-16.63607,157.998,K,13.642,8.241832588735472e-07,0.0,3807.0,0.0,1.08,0.0,-150.9105160879264,11.971399447164845,-45.23350233347095
88,COCONUTS-2 A,288.91588,-23.12313,10.8864,M,11.298,0.03639011494767556,0.0,3406.0,434.0,689000.0,0.00026362120664186336,3.2456279162715607,-9.471136841323796,-4.275180852553234
89,CT Cha,296.65359,-14.90929,190.72,K,12.335,0.0021331801994374164,0.0,4403.0,2600.0,2310.0,0.12159022162096825,82.67578030935672,-164.7147363469418,-49.07024944298151
90,CoRoT-1,215.33882,-2.10712,787.909,G,13.623,1.3342072520117657e-07,85.1,5950.0,1898.0,0.0349,0.010354210012552241,-642.2989273479769,-455.4266500767524,-28.96975333870996
91,CoRoT-10,37.36069,-6.95299,338.386,K,15.293,5.114784341832896e-07,88.55,5075.0,600.0,0.312,0.00019537132199225508,266.98175133949616,203.83286727718556,-40.963296562370694
92,CoRoT-11,37.24009,4.63005,655.037,F,12.897,2.1137876521698035e-07,83.17,6440.0,1657.0,0.0666,0.004382748645918677,519.7775793884837,395.1061882401846,52.87569714301948
93,CoRoT-12,213.13155,-2.45441,1126.37,G,15.588,1.9470117456683327e-07,85.48,5675.0,1442.0,0.0357,0.004168670587242418,-942.3770568261732,-615.0675837725041,-48.236159257273435
94,CoRoT-13,217.3986,-2.43966,1148.93,G,15.005,2.4725497766206413e-07,88.02,5945.0,1700.0,0.0444,0.006686336813473033,-911.9165340644516,-697.1775293505759,-48.90677221514932
95,CoRoT-14,218.11787,-2.02059,1744.6,F,15.932,1.308996940563869e-07,79.6,6035.0,1952.0,0.0155,0.010944858610918018,-1371.6976050315209,-1076.2393260717433,-61.51222128511574
96,CoRoT-16,25.61433,1.1011,732.409,G,16.052,2.996148552846189e-07,85.01,5650.0,0.0,0.0844,0.0,660.3091358797667,316.57021107954046,14.07443823997886
97,CoRoT-17,25.15299,0.66631,1176.12,G,16.29,2.234991072592384e-07,88.34,5740.0,1626.0,0.0392,0.006439239751630946,1064.5237165737487,499.860427395355,13.67714795365568
98,CoRoT-18,210.8191,-4.18491,764.889,G,14.868,1.4302003609864495e-07,86.5,5440.0,1550.0,0.0386,0.0065906946932643914,-655.126964299078,-390.83010834330094,-55.818181461225265
99,CoRoT-19,210.42057,-5.26125,790.663,F,14.135,2.5113348711558675e-07,88.0,6090.0,2000.0,0.0655,0.011631904077613876,-678.941437216771,-398.66029572950293,-72.50153796914029
100,CoRoT-2,38.26267,-7.29102,213.283,G,12.516,1.3565086813695207e-07,88.08,5625.0,1521.0,0.131,0.0053459728531456,166.1114793620761,131.01130300666603,-27.067563570408478
101,CoRoT-20,210.38123,-4.4686,844.061,G,14.63,4.3633231352128966e-07,88.21,5880.0,1024.0,0.107,0.0009197938940986561,-725.9405803855902,-425.58719372286527,-65.7631052302787
102,CoRoT-20,210.38123,-4.4686,844.061,G,14.63,1.4059596769019335e-05,0.0,4947.5,0.0,3.44,0.0,-725.9405803855902,-425.58719372286527,-65.7631052302787
103,CoRoT-21,212.37415,-1.74447,1398.8341969,F,16.058,2.0216730526486422e-07,86.8,6200.0,0.0,0.0298,0.0,-1180.8652752381115,-748.6527692333875,-42.583368500716176
104,CoRoT-22,37.48307,4.775,627.158,G,13.82,4.460285871550961e-07,89.749,5939.0,885.0,0.147,0.0004930827184804255,495.9434075556064,380.3179870078944,52.206534307467294
105,CoRoT-23,35.41749,4.71959,1060.97,G,15.675,2.327105672113545e-07,85.7,5900.0,1660.0,0.0452,0.006266489345328575,861.7067670406475,612.7791008604515,87.29583085698951
106,CoRoT-24,215.81744,-2.52763,591.555,K,15.383,2.7149566174658024e-07,86.5,4950.0,1070.0,0.0947,0.0021833045256975407,-479.21680915366363,-345.84385280034115,-26.08826038272749
107,CoRoT-24,215.81744,-2.52763,591.555,K,15.383,4.7511740805651547e-07,89.0,4950.0,850.0,0.166,0.0008694706112718499,-479.21680915366363,-345.84385280034115,-26.08826038272749
108,CoRoT-25,37.73014,4.94113,1103.48,F,14.79,2.8022230801700605e-07,84.5,6040.0,1330.0,0.0524,0.0023510334563127283,869.5008862274817,672.7575723688208,95.04508440753106
