pl_orbsmax,pl_orbincl,pl_eqt,pl_angsep,contrast
1.4302003609864495e-07,86.5,1550.0,0.0386,0.0065906946932643914
2.5113348711558675e-07,88.0,2000.0,0.0655,0.011631904077613876
1.3565086813695207e-07,88.08,1521.0,0.131,0.0053459728531456
4.3633231352128966e-07,88.21,1024.0,0.107,0.0009197938940986561
1.4059596769019335e-05,0.0,0.0,3.44,0.0
2.0216730526486422e-07,86.8,0.0,0.0298,0.0
4.460285871550961e-07,89.749,885.0,0.147,0.0004930827184804255
2.327105672113545e-07,85.7,1660.0,0.0452,0.006266489345328575
2.7149566174658024e-07,86.5,1070.0,0.0947,0.0021833045256975407
4.7511740805651547e-07,89.0,850.0,0.166,0.0008694706112718499
2.8022230801700605e-07,84.5,1330.0,0.0524,0.0023510334563127283
2.550119965691093e-07,86.8,1600.0,0.0503,0.006711702518215467
2.3077131248459323e-07,86.7,1500.0,0.0471,0.004177889888730722
2.923426500592641e-07,88.1,0.0,0.0787,0.0
1.8713808113246425e-07,87.3,0.0,0.0479,0.0
2.8036775212151314e-07,85.9,1695.0,0.0752,0.003999808730553298
4.091827473466317e-07,90.0,0.0,0.0818,0.0
2.841008174705286e-07,83.2,0.0,0.0292,0.0
2.0798506944514809e-07,84.1,1747.0,0.0382,0.005586865128961881
3.1997702991561245e-07,85.83,1567.0,0.0713,0.002939109245878108
4.3633231352128966e-07,90.0,1074.0,0.124,0.0009062635842057406
2.3983732833220225e-07,85.83,1438.0,0.0561,0.0030882766950277706
4.1451569784522526e-07,89.07,1017.0,0.132,0.0007777045523905872
8.249589607642517e-08,80.1,1756.0,0.106,0.012280277772643955
2.2301429357754806e-07,80.0,0.0,0.288,0.0
0.0,0.0,0.0,0.0,0.0
3.054326194649028e-07,88.4,870.0,0.196,0.000860245008492218
1.9494358140767844e-06,89.9,420.0,0.974,3.108186390123457e-05
3.442177140001285e-07,89.0,938.0,0.123,0.0006094162479729589
2.787678669719351e-05,86.0,0.0,188.0,0.0
1.7453292540851586e-06,56.6,0.0,17.3,0.0
0.0015998851495780623,0.0,2200.0,2450.0,0.06417523938329144
7.087976026312505e-07,0.0,877.0,2.34,0.0004013772352219728
3.5536842867900596e-07,0.0,1239.0,1.17,0.0015989673255681085
2.0459137367331585e-07,0.0,1632.0,0.675,0.004813211895113818
3.1561370678039957e-07,0.0,1314.0,1.04,0.0020227202603473955
3.2191628464237373e-07,0.0,1000.0,0.481,0.0005602044746332411
2.352800797243132e-07,0.0,0.0,1.92,0.0
3.970624053043736e-05,0.0,0.0,26.8,0.0
0.0,89.5,850.0,0.0,0.0006013348126922586
1.6919997490992233e-07,89.002,0.0,0.26,0.0
0.0,0.0,0.0,0.0,0.0
0.0,88.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,89.2,1874.0,0.0,0.010749454050388784
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.435048497803353e-07,89.276,0.0,0.0512,0.0
0.0,0.0,0.0,0.0,0.0
1.6968478859161268e-07,89.001,0.0,0.0802,0.0
0.0,89.81,961.0,0.0,0.0009302297088628165
0.0,0.0,0.0,0.0,0.0
0.0,91.7,0.0,0.0,0.0
0.0,90.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,90.5,0.0,0.0,0.0
0.0,89.9,0.0,0.0,0.0
0.0,89.9,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
5.793523496199346e-07,89.73,431.0,0.642,0.00012737642329755053
7.238268267636505e-07,87.9,817.0,0.822,0.00032841249798669635
0.0,0.0,1149.0,0.0,0.002437709577708913
0.0,0.0,866.0,0.0,0.0007866352740047584
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,756.0,0.0,0.0002513763683826866
0.0,89.421,658.0,0.0,0.00014425831002947605
0.0,90.3,0.0,0.0,0.0
0.0,90.0,0.0,0.0,0.0
4.7511740805651547e-07,89.071,536.0,0.291,0.00017147136819653172
1.3574783087329014e-06,89.63,316.0,0.833,2.07148019222967e-05
0.0,92.6,0.0,0.0,0.0
0.0,91.3,0.0,0.0,0.0
6.428629419213668e-08,86.4,2300.0,0.0542,0.029880142087144766
5.250532172706185e-07,89.35,805.0,0.443,0.00044838888219521616
0.0,89.7,932.0,0.0,0.0036878865410026143
5.997145242509282e-07,88.08,804.0,1.01,0.0003524226190147557
3.5047181049393365e-07,86.21,1401.0,0.194,0.002603907146510784
2.1816615676064485e-05,89.87,183.0,8.15,1.9486293330273806e-06
