sy_dist,st_spectype,sy_vmag,st_teff
25.8557,M,9.7,4347.0
15.1285,M,11.79,3500.0
15.1285,M,11.79,3500.0
15.1285,M,11.79,3500.0
12.356,M,11.963,3370.0
11.9407,M,10.914,3371.0
11.9407,M,10.914,3371.0
11.9407,M,10.914,3811.5
37.0788,G,6.20902,5485.0
37.0788,G,6.20902,5485.0
28.4434,M,10.37,4069.95
5.75624,M,8.15,3912.54
5.75624,M,8.15,3564.0
15.2142,M,11.62,3485.0
5.58057,M,9.89,3451.0
23.6062,M,11.45,3542.0
5.921535,M,9.84,3382.0
5.921535,M,9.84,3382.0
17.5559,G,6.59,5540.0
16.6186,M,11.041,3910.0
22.4751,M,11.403,3556.0
28.4712,M,10.8275,3717.0
28.4712,M,10.8275,3717.0
28.4712,M,10.8275,3717.0
15.1968,M,12.4,3492.73
15.1968,M,12.4,3492.73
18.23817,K,6.9,5257.46
20.5266,M,9.99,3897.0
20.5266,M,9.99,3897.0
20.1903,M,11.945,3466.0
20.1903,M,11.945,3466.0
20.1903,M,11.945,3466.0
20.1903,M,11.945,3466.0
5.37484,M,12.57,3159.0
5.37484,M,12.57,3159.0
23.619,M,12.062,3526.0
6.33256,M,7.7,4014.0
29.4214,M,12.332,3600.0
27.3644,M,13.74,3347.0
27.3644,M,13.74,3347.0
9.48637,M,15.18,3081.0
9.48637,M,15.18,3081.0
9.44181,M,10.91,3505.0
9.44181,M,10.91,3505.0
9.44181,M,10.91,3505.0
20.3779,M,11.938,3517.0
9.41263,M,10.153,3522.0
9.41263,M,10.153,3522.0
9.41263,M,10.153,3522.0
13.743,M,13.04,3324.0
15.8095,M,12.675,3384.0
15.8095,M,12.675,3384.0
7.03149,M,9.65,3579.0
16.9287,M,10.166,3867.0
9.9105,M,13.627,3273.0
18.1459,M,10.844,3722.0
18.1459,M,10.844,3722.0
5.675773,M,7.49,3719.0
11.8893,K,8.31,4120.0
11.8893,K,8.31,4120.0
12.6631,M,11.66,3323.0
21.3362,M,12.903,3387.0
9.06456,M,9.81,3461.0
9.06456,M,9.81,3472.0
9.06456,M,9.81,3461.0
9.75321,M,10.67,3586.11
18.3554,M,11.595,3540.0
14.2358,M,11.49,3381.0
8.07426,M,11.39,3317.0
,G,0.0,6234.0
7.61778,M,9.05,3728.0
10.4092,M,9.71,3685.0
6.2981,M,10.57,3396.0
6.2981,M,10.57,3396.0
6.2981,M,10.57,3396.0
6.47249,M,10.066,3499.0
10.3796,M,9.7,3734.0
7.24396,M,10.602,3350.0
7.24396,M,10.602,3350.0
7.24396,M,10.602,3350.0
7.24396,M,10.602,3350.0
7.24396,M,10.602,3350.0
4.54896,M,9.38,3600.0
16.0272,M,9.58,3734.0
16.0272,M,9.58,4006.03
16.0272,M,9.58,4006.03
16.0272,M,9.58,4006.03
9.67315,K,10.129,3563.0
5.00671,M,10.94,3028.0
5.00671,M,10.94,3028.0
14.3155,M,9.98,3816.0
4.54939,M,9.15,3413.0
4.54939,M,9.15,3413.0
15.5575,M,9.84,3837.0
16.9658,M,10.638,3799.0
11.1017,M,9.22,3913.0
12.0445,M,10.79,3600.0
12.0445,M,10.79,3600.0
4.96435,M,8.66,3472.0
8.80058,M,10.41,3467.0
8.80058,M,10.41,3467.0
10.7836,K,6.12,5182.0
4.67517,M,10.16,3293.74
4.67517,M,10.16,3293.74
4.67517,M,10.16,3293.74
4.67517,M,10.16,3271.0
3.29,M,7.56,3688.0
3.29,M,7.56,3688.0
6.26022,M,10.05,3345.0
20.8065,K,9.59,3976.0
4.471,M,12.71,3154.0
23.8839,M,10.62,3811.0
11.9315,M,9.4,3785.0
30.6203,M,11.297,3836.0
20.5121,K,9.37,4263.0
29.661,K,10.37,4236.0
29.661,K,10.37,4236.0
29.661,K,10.37,4236.0
655.013,F,12.316,7000.0
151.169,K,11.593,4360.0
108.5,K,12.416,4200.0
47.5501,M,14.146,4031.81
363.66,G,13.242,5470.0
209.229,G,11.277,5720.0
1270.0,G,0.0,0.0
14.9545,M,10.03,3879.0
9.8528,M,9.56,3805.0
8.15728,M,9.62,3656.0
12.21,M,12.6,3296.0
158.979,G,9.827,5980.0
37.7647,K,9.46,4780.0
37.7647,K,9.46,4780.0
142.751,K,12.665,4650.0
,G,0.0,5653.0
246.81,G,10.421,5653.0
222.663,F,9.988,6600.0
192.516,G,12.41,5568.0
226.637,F,10.911,6158.0
92.3831,K,10.375,5246.0
92.3831,K,10.375,5336.96
161.4,K,12.597,4803.0
202.078,K,12.826,4962.0
127.774,F,8.72,6380.0
127.774,F,8.72,6412.0
71.0374,K,11.231,4595.0
277.278,G,11.459,5588.0
81.7647,G,9.763,5302.0
364.813,G,11.937,5905.0
415.344,F,11.762,6373.0
300.384,G,13.146,5519.0
141.837,K,11.757,5079.0
199.173,G,12.052,5316.0
401.319,G,13.098,5680.0
313.576,F,11.825,6087.0
134.554,K,11.856,5185.0
,G,0.0,0.0
344.05,G,11.667,6065.0
289.205,G,11.439,6001.0
396.11,F,11.032,6446.0
249.325,G,10.403,6442.0
506.965,G,12.389,6096.0
294.419,G,12.146,5620.0
390.594,G,13.427,5500.0
255.206,G,12.525,5330.0
697.004,G,12.282,6430.0
320.451,F,11.118,5860.0
464.469,G,11.34,6080.0
348.185,G,11.365,6390.0
405.238,G,12.125,5743.0
528.825,F,13.279,5693.0
347.85,G,13.225,5295.0
347.85,G,13.225,5295.0
298.64,G,12.783,6330.0
290.736,G,11.997,6120.0
350.351,F,10.205,6820.0
303.336,G,11.954,5960.0
515.458,F,11.703,6280.0
440.089,G,13.51,5453.0
361.155,K,14.107,5131.0
666.802,G,13.78,5956.0
143.651,K,13.398,4390.0
511.388,G,13.197,5804.0
