sy_vmag,glon,glat,st_spectype,sy_dist
4.96808,337.65749,74.0991,,17.9011
4.96808,337.65749,74.0991,,17.9011
4.96808,337.65749,74.0991,,17.9011
4.96808,337.65749,74.0991,,17.9011
4.96808,337.65749,74.0991,,17.9011
4.96808,337.65749,74.0991,,17.9011
5.3532,169.94418,-54.44177,G3 III,82.9613
5.3532,169.94418,-54.44177,G3 III,82.9613
5.3532,169.94418,-54.44177,G3 III,82.9613
6.83295,112.79492,39.66099,,162.552
6.83295,112.79492,39.66099,K0,162.552
5.64307,174.48697,-55.24995,G5 III,101.26
5.64307,174.48697,-55.24995,,101.26
5.64307,174.48697,-55.24995,G5 III,101.26
4.23946,67.07416,-61.11327,K0 III,44.0304
7.076,172.49916,-7.98082,,162.127
9.13,266.94347,-26.93081,K2 V,50.0475
6.332,214.37435,-24.04116,F8 V,26.8564
6.332,214.37435,-24.04116,F8 V,26.8564
6.332,214.37435,-24.04116,F8 V,26.8564
8.81,12.65304,-36.80401,,9.7221
8.81,12.65304,-36.80401,,9.7221
8.81,12.65304,-36.80401,,9.7221
8.81,12.65304,-36.80401,,9.7221
8.81,12.65304,-36.80401,M1,9.7221
8.81,12.65304,-36.80401,,9.7221
8.81,12.65304,-36.80401,,9.7221
8.81,12.65304,-36.80401,,9.7221
8.81,12.65304,-36.80401,,9.7221
8.81,12.65304,-36.80401,,9.7221
8.81,12.65304,-36.80401,,9.7221
8.81,12.65304,-36.80401,,9.7221
8.81,12.65304,-36.80401,,9.7221
8.81,12.65304,-36.80401,,9.7221
8.81,12.65304,-36.80401,,9.7221
8.81,12.65304,-36.80401,,9.7221
8.81,12.65304,-36.80401,,9.7221
9.577,269.32522,61.57342,,1070.63
9.78,64.41837,-22.63172,K2 V,49.352
9.78,64.41837,-22.63172,,49.352
10.41,249.00212,70.27244,,768.045
9.01,28.10432,44.78011,K0,426.42
9.743,216.04472,53.95226,K2 II,1539.71
9.743,216.04472,53.95226,,1539.71
9.743,216.04472,53.95226,K2 II,1539.71
9.367,138.9742,-40.23345,K5 III,1322.51
10.849,166.7966,-28.05348,,179.461
10.849,166.7966,-28.05348,,179.461
10.849,166.7966,-28.05348,G,179.461
9.67,137.23205,-14.70463,K1,53.622
9.139,140.80848,-9.3787,K0 III,871.493
8.69,141.10904,-9.96534,,666.589
9.381,143.61792,-7.80173,K0,442.042
9.38,129.03163,-5.64657,K3,52.5697
9.374,124.74559,57.0861,K0,44.9543
8.96,93.08126,29.1513,K0,38.0473
8.96,93.08126,29.1513,K0,38.0473
9.7,211.65797,-15.71602,K7/M0 V,20.2695
9.7,211.65797,-15.71602,K7/M0 V,20.2695
9.86,248.49513,34.75486,K3 V,41.3342
9.86,248.49513,34.75486,,41.3342
9.86,248.49513,34.75486,K3 V,41.3342
10.013,263.28467,43.23793,,84.4069
10.013,263.28467,43.23793,,84.4069
10.013,263.28467,43.23793,K0 V,84.4069
10.013,263.28467,43.23793,,84.4069
10.03,20.54287,-1.35959,K7 V,27.1665
10.03,20.54287,-1.35959,,27.1665
10.03,20.54287,-1.35959,,27.1665
10.038,230.52055,3.53127,,925.214
10.038,230.52055,3.53127,,925.214
11.1,256.57364,32.77156,,589.423
11.1,256.57364,32.77156,,589.423
9.62,95.83026,-77.87825,,34.4603
9.62,95.83026,-77.87825,,34.4603
9.62,95.83026,-77.87825,,34.4603
9.62,95.83026,-77.87825,K5 V,34.4603
9.84,199.69949,-70.45622,K7 V,23.7324
9.84,199.69949,-70.45622,K7 V,23.7324
9.84,199.69949,-70.45622,K7 V,23.7324
13.95,175.42689,-43.1678,M5.0 V,8.60715
,9.59427,55.65506,,
,353.60499,16.96444,M9-L1,
,297.2776,-15.92181,M3.5,190.374
13.642,175.46435,-16.63607,,157.998
11.298,288.91588,-23.12313,M3 V,10.8864
12.335,296.65359,-14.90929,,190.72
13.623,215.33882,-2.10712,G0 V,787.909
13.623,215.33882,-2.10712,,787.909
13.623,215.33882,-2.10712,,787.909
13.623,215.33882,-2.10712,,787.909
13.623,215.33882,-2.10712,,787.909
13.623,215.33882,-2.10712,,787.909
13.623,215.33882,-2.10712,,787.909
15.293,37.36069,-6.95299,,338.386
15.293,37.36069,-6.95299,,338.386
15.293,37.36069,-6.95299,K1 V,338.386
12.897,37.24009,4.63005,,655.037
12.897,37.24009,4.63005,F6 V,655.037
12.897,37.24009,4.63005,,655.037
12.897,37.24009,4.63005,,655.037
12.897,37.24009,4.63005,,655.037
12.897,37.24009,4.63005,F6 V,655.037
12.897,37.24009,4.63005,,655.037
15.588,213.13155,-2.45441,,1126.37
15.588,213.13155,-2.45441,,1126.37
15.588,213.13155,-2.45441,,1126.37
15.588,213.13155,-2.45441,,1126.37
15.588,213.13155,-2.45441,,1126.37
15.588,213.13155,-2.45441,,1126.37
15.005,217.3986,-2.43966,G0 V,1148.93
15.005,217.3986,-2.43966,,1148.93
15.005,217.3986,-2.43966,,1148.93
15.005,217.3986,-2.43966,,1148.93
15.005,217.3986,-2.43966,G0 V,1148.93
15.932,218.11787,-2.02059,F9 V,1744.6
15.932,218.11787,-2.02059,,1744.6
15.932,218.11787,-2.02059,,1744.6
16.052,25.61433,1.1011,,732.409
16.052,25.61433,1.1011,G5 V,732.409
16.29,25.15299,0.66631,,1176.12
16.29,25.15299,0.66631,G2 V,1176.12
16.29,25.15299,0.66631,,1176.12
14.868,210.8191,-4.18491,,764.889
14.868,210.8191,-4.18491,,764.889
14.868,210.8191,-4.18491,G9 V,764.889
14.868,210.8191,-4.18491,G9 V,764.889
14.868,210.8191,-4.18491,,764.889
14.868,210.8191,-4.18491,,764.889
14.135,210.42057,-5.26125,,790.663
14.135,210.42057,-5.26125,F9 V,790.663
14.135,210.42057,-5.26125,F9 V,790.663
14.135,210.42057,-5.26125,,790.663
14.135,210.42057,-5.26125,F9 V,790.663
14.135,210.42057,-5.26125,,790.663
12.516,38.26267,-7.29102,,213.283
12.516,38.26267,-7.29102,,213.283
12.516,38.26267,-7.29102,,213.283
12.516,38.26267,-7.29102,,213.283
12.516,38.26267,-7.29102,,213.283
12.516,38.26267,-7.29102,,213.283
12.516,38.26267,-7.29102,,213.283
12.516,38.26267,-7.29102,,213.283
12.516,38.26267,-7.29102,,213.283
12.516,38.26267,-7.29102,,213.283
12.516,38.26267,-7.29102,,213.283
12.516,38.26267,-7.29102,,213.283
14.63,210.38123,-4.4686,,844.061
14.63,210.38123,-4.4686,G2 V,844.061
14.63,210.38123,-4.4686,,844.061
14.63,210.38123,-4.4686,,844.061
14.63,210.38123,-4.4686,,844.061
14.63,210.38123,-4.4686,,844.061
14.63,210.38123,-4.4686,,844.061
16.058,212.37415,-1.74447,,
16.058,212.37415,-1.74447,F8 IV,
13.82,37.48307,4.775,G3 V,627.158
15.675,35.41749,4.71959,,1060.97
15.675,35.41749,4.71959,G0 V,1060.97
15.675,35.41749,4.71959,,1060.97
15.383,215.81744,-2.52763,K1 V,591.555
15.383,215.81744,-2.52763,K1 V,591.555
14.79,37.73014,4.94113,F9,1103.48
14.79,37.73014,4.94113,,1103.48
15.861,37.74453,5.926,G5,1045.18
15.861,37.74453,5.926,,1045.18
15.774,35.89455,6.39649,G2,1010.28
15.774,35.89455,6.39649,,1010.28
13.783,36.01305,6.24131,,766.183
13.783,36.01305,6.24131,G8/9 IV,766.183
15.408,36.92336,6.45872,K0 V,806.507
15.408,36.92336,6.45872,,806.507
15.408,36.92336,6.45872,,806.507
